Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
94,North Texas,Conference USA,3,5,-55.586,-117.470,113,0.375,0.185,0.190,1.185,180.952,236.538,190,246,105,104,-59.827,114
93,Missouri,SEC,1,7,-55.280,-43.183,87,0.125,0.376,-0.251,-1.563,176.923,232.203,207,274,117,118,19.564,46
42,Kansas State,Big 12,4,4,40.230,19.511,54,0.500,0.556,-0.056,-0.352,260.638,220.408,245,216,94,98,13.961,54
120,New Mexico State,Sun Belt,2,6,-156.239,-126.786,113,0.250,0.186,0.064,0.408,201.053,357.292,191,343,95,96,-40.515,102
98,Kent State,Mid-American,2,5,-54.908,-36.760,83,0.286,0.369,-0.083,-0.530,151.685,206.593,135,188,89,91,-6.959,73
107,Florida International,Conference USA,3,7,-101.527,-145.342,121,0.300,0.142,0.158,0.984,174.809,276.336,229,362,131,131,-52.314,110
28,Temple,American Athletic,6,3,69.612,47.480,41,0.667,0.629,0.037,0.232,251.754,182.143,287,204,114,112,-19.254,84
63,Arkansas State,Sun Belt,4,3,0.643,-35.446,84,0.571,0.377,0.195,1.213,186.813,186.170,170,175,91,94,-28.027,90
108,Massachusetts,FBS Independents,1,8,-105.671,-135.119,119,0.111,0.178,-0.067,-0.416,160.163,265.833,197,319,123,120,-30.286,91
124,Rutgers,Big Ten,1,7,-163.984,-5.750,69,0.125,0.476,-0.351,-2.187,106.957,270.940,123,317,115,117,89.361,4
116,Rice,Conference USA,0,8,-140.410,-165.701,124,0.000,0.082,-0.082,-0.513,143.519,283.929,155,318,108,112,-43.183,103
76,Miami (OH),Mid-American,4,5,-25.194,-63.368,97,0.444,0.306,0.138,0.863,179.310,204.505,208,227,116,111,-39.124,97
121,Fresno State,Mountain West,0,9,-154.976,-152.837,123,0.000,0.113,-0.113,-0.702,133.913,288.889,154,338,115,117,-10.408,75
68,Colorado State,Mountain West,4,4,-12.358,-4.976,68,0.500,0.484,0.016,0.099,198.058,210.417,204,202,103,96,2.214,60
114,San José State,Mountain West,2,7,-135.216,-137.688,120,0.222,0.139,0.084,0.522,155.856,291.071,173,326,111,112,-19.517,85
29,USC,Pac-12,6,3,67.257,138.287,12,0.667,0.855,-0.188,-1.175,254.867,187.611,288,212,113,113,72.119,11
90,Louisiana,Sun Belt,2,5,-54.963,-112.523,111,0.286,0.167,0.118,0.739,155.789,210.753,148,196,95,93,-62.247,117
110,Hawai'i,Mountain West,3,6,-110.041,-69.652,101,0.333,0.315,0.019,0.117,204.505,314.545,227,346,111,110,-14.489,80
113,Charlotte,Conference USA,3,5,-117.660,-114.687,112,0.375,0.199,0.176,1.098,210.000,327.660,189,308,90,94,-65.436,119
