Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
101,South Alabama,Sun Belt,3,8,-44.001,-17.255,98,0.273,0.392485531,-0.120,-0.626,230.435,274.436,318,365,138,133,11.727,0.392
102,Akron,Mid-American,4,7,-44.189,2.299,78,0.364,0.36103282,0.003,0.496,172.258,216.447,267,329,155,152,-1.556,-0.052
103,Michigan State,Big Ten,3,8,-45.132,-77.965,119,0.273,0.384012284,-0.111,-0.548,216.912,262.044,295,359,136,137,51.659,1.727
104,North Carolina,ACC,3,8,-45.358,-20.565,103,0.273,0.362520096,-0.090,-0.351,179.070,224.427,231,294,129,131,13.559,0.453
105,New Mexico State,Conference USA,3,8,-47.059,-11.737,93,0.273,0.351323705,-0.079,-0.248,169.281,216.340,259,331,153,153,7.458,0.249
106,App State,Sun Belt,4,8,-48.395,-18.958,101,0.333,0.368500171,-0.035,0.150,201.282,249.677,314,387,156,155,11.714,0.392
107,Tulsa,American Athletic,3,8,-50.195,-17.395,99,0.273,0.356977657,-0.084,-0.300,189.116,239.310,278,347,147,145,10.363,0.347
108,Georgia Southern,Sun Belt,6,6,-52.851,-40.225,109,0.500,0.3775882,0.122,1.595,238.816,291.667,363,420,152,144,22.761,0.761
109,Florida Atlantic,American Athletic,3,8,-59.062,-39.806,108,0.273,0.368586625,-0.096,-0.407,245.833,304.895,354,436,144,143,20.155,0.674
110,Middle Tennessee,Conference USA,3,8,-60.528,9.328,68,0.273,0.33144169,-0.059,-0.066,186.806,247.333,269,371,144,150,-4.608,-0.154
111,Boston College,ACC,1,10,-61.972,-70.195,117,0.091,0.346661949,-0.256,-1.873,214.789,276.761,305,393,142,142,33.873,1.133
112,Northern Illinois,Mid-American,2,9,-66.564,-31.565,106,0.182,0.288416688,-0.107,-0.505,152.985,219.549,205,292,134,133,14.181,0.474
113,UTEP,Conference USA,1,10,-69.420,-7.627,91,0.091,0.301599645,-0.211,-1.460,173.913,243.333,280,365,161,150,3.286,0.110
114,Colorado,Big 12,3,9,-74.194,-99.012,121,0.250,0.290747861,-0.041,0.099,173.103,247.297,251,366,145,148,39.908,1.335
115,West Virginia,Big 12,3,8,-76.640,-138.817,127,0.273,0.278312171,-0.006,0.421,165.190,241.830,261,370,158,153,54.165,1.811
116,Coastal Carolina,Sun Belt,5,7,-77.844,-63.880,113,0.417,0.277062268,0.140,1.753,166.474,244.318,288,430,173,176,24.540,0.821
117,Wisconsin,Big Ten,4,8,-79.144,-222.339,132,0.333,0.224366832,0.109,1.472,123.200,202.344,154,259,125,128,84.011,2.809
118,Stanford,ACC,4,8,-86.232,-150.524,128,0.333,0.257782993,0.076,1.165,163.768,250.000,226,350,138,140,52.201,1.746
119,Nevada,Mountain West,2,9,-86.861,-65.838,114,0.182,0.246366427,-0.065,-0.119,154.015,240.876,211,330,137,137,22.667,0.758
120,Virginia Tech,ACC,2,9,-91.806,-156.655,129,0.182,0.274516806,-0.093,-0.378,193.233,285.039,257,362,133,127,51.028,1.706
121,Colorado State,Mountain West,1,10,-93.646,-101.119,122,0.091,0.247243293,-0.156,-0.961,166.917,260.563,222,370,133,142,32.291,1.080
