Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
121,Colorado State,Mountain West,1,10,-93.646,-98.088,121.000,0.091,0.247243293,-0.156,-0.962,166.917,260.563,222,370,133,142,32.291,1.047
122,Oregon State,Pac-12,1,10,-104.046,-143.183,126.000,0.091,0.207033801,-0.116,-0.595,146.309,250.355,218,353,149,141,42.425,1.376
123,Kent State,Mid-American,4,7,-104.735,-103.956,122.000,0.364,0.238375913,0.125,1.610,177.083,281.818,255,403,144,143,30.599,0.993
124,San Jose State,Mountain West,2,9,-106.581,-50.631,109.000,0.182,0.234412886,-0.053,-0.014,176.027,282.609,257,390,146,138,14.645,0.475
125,Rice,American Athletic,4,7,-107.244,-114.303,124.000,0.364,0.242603972,0.121,1.571,185.938,293.182,238,387,128,132,32.858,1.066
126,Ball State,Mid-American,3,8,-114.635,-52.319,110.000,0.273,0.177881526,0.095,1.332,135.714,250.350,190,358,140,143,14.070,0.456
127,Purdue,Big Ten,1,10,-115.822,-332.108,135.000,0.091,0.220048653,-0.129,-0.714,175.781,291.603,225,382,128,131,88.398,2.867
128,UAB,American Athletic,3,8,-121.464,-128.357,125.000,0.273,0.268132592,0.005,0.508,245.736,367.200,317,459,129,125,32.578,1.057
129,Syracuse,ACC,2,9,-123.701,-230.523,132.000,0.182,0.194216786,-0.012,0.353,161.333,285.034,242,419,150,147,57.451,1.864
130,UL Monroe,Sun Belt,2,9,-138.375,-62.761,112.000,0.182,0.151125239,0.031,0.746,139.161,277.536,199,383,143,138,13.983,0.454
131,Georgia State,Sun Belt,0,11,-153.782,-196.244,130.000,0.000,0.166981695,-0.167,-1.059,170.504,324.286,237,454,139,140,39.341,1.276
132,UCLA,Big Ten,3,9,-164.047,-467.000,136.000,0.250,0.164065615,0.086,1.251,178.689,342.735,218,401,122,117,87.761,2.847
133,Sam Houston,Conference USA,2,10,-167.213,-71.573,116.000,0.167,0.129071342,0.038,0.809,145.890,313.103,213,454,146,145,13.196,0.428
134,Oklahoma State,Big 12,0,11,-170.974,-311.354,134.000,0.000,0.097251584,-0.097,-0.422,118.881,289.855,170,400,143,138,56.141,1.821
135,Charlotte,American Athletic,0,11,-187.598,-225.586,131.000,0.000,0.086247788,-0.086,-0.322,119.444,307.042,172,436,144,142,37.071,1.202
136,Massachusetts,Mid-American,0,11,-239.438,-105.911,123.000,0.000,0.043869317,-0.044,0.065,98.519,337.956,133,463,135,137,13.636,0.442
