Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac1,Indiana,Big Ten,15,0,273.3529111,532.1097709,1,1,0.960973335,0.039026665,0.837410001,378.4090909,105.0561798,666,187,176,178,57.26084701,1.946603637
83,Troy,Sun Belt,7,6,-1.238030096,-0.90245829,83,0.538461538,0.496014621,0.042446917,0.868896525,193.5294118,194.7674419,329,335,170,172,21.44253728,0.728946972
84,Florida International,Conference USA,6,6,-4.576199535,-1.227575919,84,0.5,0.487334642,0.012665358,0.59473024,223.4939759,228.0701754,371,390,166,171,7.890847413,0.268252271
85,Mississippi State,SEC,4,8,-4.640785364,-6.791734127,90,0.333333333,0.487930283,-0.154596949,-0.945071103,237.9518072,242.5925926,395,393,166,162,43.04963079,1.463488094
86,Central Michigan,Mid-American,6,6,-8.904109589,-3.663041285,86,0.5,0.472893794,0.027106206,0.727671356,200.6849315,209.5890411,293,306,146,146,12.10128682,0.411387714
87,Baylor,Big 12,4,7,-10.75051709,-14.25589752,97,0.363636364,0.474951257,-0.111314894,-0.546620498,262.6760563,273.4265734,373,391,142,143,39.00726028,1.326066216
88,Temple,American Athletic,4,7,-15.23559555,-19.0520512,101,0.363636364,0.465128854,-0.101492491,-0.456196363,265.0793651,280.3149606,334,356,126,127,36.78430392,1.250495994
89,Arkansas State,Sun Belt,6,6,-16.83962264,0.775429923,78,0.5,0.450969975,0.049030025,0.929500005,205.6603774,222.5,327,356,159,160,-1.354535645,-0.046047939
90,Florida,SEC,3,8,-17.12121212,-36.23507541,107,0.272727273,0.447902544,-0.175175272,-1.134513238,196.2121212,213.3333333,259,288,132,135,62.25509484,2.116384936
91,Maryland,Big Ten,3,8,-17.73498132,-18.84555656,100,0.272727273,0.44674107,-0.174013797,-1.123820807,198.5915493,216.3265306,282,318,142,147,31.25780446,1.062620604
92,Delaware,Conference USA,6,6,-18.72635019,-3.768213224,87,0.5,0.45434702,0.04565298,0.898411239,246.4052288,265.1315789,377,403,153,152,5.919193893,0.201225182
93,California,ACC,6,6,-19.03195698,-12.56004568,95,0.5,0.447850445,0.052149555,0.958218107,217.8807947,236.9127517,329,353,151,149,19.41279234,0.659945044
94,Missouri State,Conference USA,6,6,-25.52283025,-13.00512653,96,0.5,0.431978965,0.068021035,1.104329493,220.5298013,246.0526316,333,374,151,152,14.98876971,0.509548761
95,Rutgers,Big Ten,4,7,-32.58412698,-66.50121846,113,0.363636364,0.429995919,-0.066359555,-0.132765809,273.015873,305.6,344,382,126,125,60.03489434,2.0409084
96,Louisiana,Sun Belt,5,7,-32.91569715,-10.79522543,92,0.416666667,0.415085223,0.001581444,0.492692751,223.8410596,256.7567568,338,380,151,148,9.647369117,0.327965875
97,Bowling Green,Mid-American,3,8,-34.09624413,-12.37249344,93,0.272727273,0.388185709,-0.115458436,-0.584765571,170.8333333,204.9295775,246,291,144,142,10.67409165,0.362869687
98,Kentucky,SEC,4,7,-37.34355444,-68.59469394,115,0.363636364,0.39257174,-0.028935376,0.211757729,195.7446809,233.0882353,276,317,141,136,54.03250564,1.83685498
99,Wyoming,Mountain West,3,8,-38.57142857,-31.36252961,106,0.272727273,0.349874612,-0.077147339,-0.232077151,137.1428571,175.7142857,192,246,140,140,23.91804054,0.81310262
100,Eastern Michigan,Mid-American,4,7,-41.64454767,-6.154562489,89,0.363636364,0.392855436,-0.029219073,0.209146043,218.9393939,260.5839416,289,357,132,137,4.347296623,0.147787954
101,South Alabama,Sun Belt,3,8,-44.00130762,-18.54796188,99,0.272727273,0.392485531,-0.119758258,-0.624349333,230.4347826,274.4360902,318,365,138,133,12.39969062,0.421532061
102,Akron,Mid-American,4,7,-44.1893039,2.464700666,77,0.363636364,0.36103282,0.002603543,0.502102104,172.2580645,216.4473684,267,329,155,152,-1.640692752,-0.055775956
103,Michigan State,Big Ten,3,8,-45.13203091,-77.53674532,118,0.272727273,0.384012284,-0.111285011,-0.546345404,216.9117647,262.0437956,295,359,136,137,50.53624015,1.717998143
104,North Carolina,ACC,3,8,-45.35771347,-21.53909651,104,0.272727273,0.362520096,-0.089792823,-0.348490304,179.0697674,224.4274809,231,294,129,131,13.96871853,0.474871744
105,App State,Sun Belt,4,8,-46.79487179,-18.14056958,98,0.333333333,0.372249313,-0.038915979,0.119877216,201.2820513,248.0769231,314,387,156,156,11.40336157,0.387661487
106,New Mexico State,Conference USA,3,8,-47.05882353,-12.53950632,94,0.272727273,0.351323705,-0.078596432,-0.245417363,169.2810458,216.3398693,259,331,153,153,7.838259014,0.266464509
107,Tulsa,American Athletic,3,8,-50.19469857,-19.5417294,102,0.272727273,0.356977657,-0.084250384,-0.297467128,189.1156463,239.3103448,278,347,147,145,11.4521066,0.389318593
108,Georgia Southern,Sun Belt,6,6,-54.41176471,-41.93125026,108,0.5,0.373743278,0.126256722,1.640441842,237.254902,291.6666667,363,420,153,144,22.66862812,0.770628383
109,Florida Atlantic,American Athletic,3,8,-59.06177156,-42.63655968,109,0.272727273,0.368586625,-0.095859353,-0.404338216,245.8333333,304.8951049,354,436,144,143,21.23517882,0.721897745
110,Middle Tennessee,Conference USA,3,8,-60.52777778,9.482743242,68,0.272727273,0.33144169,-0.058714417,-0.062385374,186.8055556,247.3333333,269,371,144,150,-4.608499022,-0.156667626
111,Boston College,ACC,1,10,-61.97183099,-71.47176422,116,0.090909091,0.346661949,-0.255752858,-1.876303055,214.7887324,276.7605634,305,393,142,142,33.92504342,1.153294377
112,Northern Illinois,Mid-American,2,9,-66.56379755,-31.26224808,105,0.181818182,0.288416688,-0.106598506,-0.50320187,152.9850746,219.5488722,205,292,134,133,13.81536462,0.469658421
113,UTEP,Conference USA,1,10,-69.42028986,-8.380524137,91,0.090909091,0.301599645,-0.210690554,-1.461463646,173.9130435,243.3333333,280,365,161,150,3.55111712,0.120721538
114,Colorado,Big 12,3,9,-74.19384902,-97.47985186,121,0.25,0.290747861,-0.040747861,0.103013087,173.1034483,247.2972973,251,366,145,148,38.64801527,1.313853549
115,West Virginia,Big 12,3,8,-76.64019194,-140.7267871,127,0.272727273,0.278312171,-0.005584898,0.426720069,165.1898734,241.8300654,261,370,158,153,54.01326449,1.83620087
116,Wisconsin,Big Ten,4,8,-79.14375,-213.1095915,131,0.333333333,0.224366832,0.108966501,1.481269668,123.2,202.34375,154,259,125,128,79.20755543,2.692690093
117,Coastal Carolina,Sun Belt,5,7,-84.91854966,-71.97578921,117,0.416666667,0.26017815,0.156488516,1.918752945,163.6363636,248.5549133,288,430,176,173,24.9324011,0.847586181
